0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:20:10 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
